;Scopy version,f4beeb1
;Exported on,Saturday October 07/10/2023
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
657,454630,-0.921948,-20.9046
658,455679,-0.782408,-21.6441
659,456730,-0.800722,-20.5385
660,457784,-0.871963,-20.7756
661,458840,-0.855316,-22.2261
662,459899,-0.825854,-21.4464
663,460960,-0.900746,-22.4291
664,462024,-0.877348,-22.4046
665,463090,-0.918223,-22.6235
666,464159,-0.937411,-22.5457
667,465230,-1.05047,-22.2943
668,466303,-1.033,-22.3166
669,467380,-1.06557,-23.9698
670,468458,-0.98819,-22.915
671,469539,-1.13116,-23.6938
672,470622,-1.07024,-23.4879
673,471708,-1.01135,-24.4153
674,472797,-1.11713,-24.2125
675,473888,-1.14944,-24.593
676,474981,-1.15293,-24.9721
677,476078,-1.19598,-25.3775
678,477176,-1.34417,-26.2192
679,478277,-1.24634,-25.1174
680,479381,-1.29564,-25.4877
681,480487,-1.30965,-26.0128
682,481596,-1.39298,-26.3098
683,482707,-1.40513,-26.7155
684,483821,-1.55014,-27.1431
685,484937,-1.50227,-27.7384
686,486056,-1.5468,-27.969
687,487178,-1.60168,-28.1814
688,488302,-1.57493,-29.8317
689,489429,-1.73867,-30.1002
690,490558,-1.7757,-30.5692
691,491690,-1.91713,-29.7196
692,492825,-1.94633,-31.6829
693,493962,-1.9742,-32.0118
694,495102,-2.17845,-31.9169
695,496244,-2.1226,-32.4053
696,497390,-2.28621,-33.3156
697,498537,-2.46888,-33.2869
698,499688,-2.62799,-33.734
699,500841,-2.79278,-33.8051
700,501997,-3.12222,-34.3541
701,503155,-3.37432,-32.6356
702,504316,-3.45386,-30.2449
703,505480,-3.30405,-30.5967
704,506646,-3.065,-30.1001
705,507815,-3.06552,-30.6085
706,508987,-3.10372,-32.3547
707,510162,-3.12987,-33.9326
708,511339,-3.32728,-35.5589
709,512519,-3.60498,-37.0769
710,513701,-4.04639,-38.1401
711,514887,-4.49413,-38.388
712,516075,-4.49861,-37.1131
713,517266,-4.73936,-39.6262
714,518459,-5.02369,-42.1898
715,519656,-5.60665,-43.2042
716,520855,-6.42206,-43.8773
717,522057,-7.21772,-43.0985
718,523261,-8.08325,-43.4497
719,524469,-8.99674,-40.6956
720,525679,-9.99104,-37.696
721,526892,-10.9962,-33.029
722,528108,-12.1396,-24.046
723,529327,-12.9732,-14.3486
724,530548,-13.5338,0.231142
725,531772,-12.4799,14.8323
726,532999,-11.3468,23.4503
727,534229,-9.87165,30.6522
728,535462,-8.58128,34.5329
729,536698,-7.31035,36.5337
730,537936,-6.26304,35.2343
731,539177,-5.31285,34.4986
732,540422,-4.55175,33.0332
733,541669,-3.88561,31.0696
734,542919,-3.50275,28.3181
735,544171,-2.97631,27.0241
736,545427,-2.6663,24.507
737,546686,-2.33269,23.3682
738,547947,-2.05651,21.7602
739,549212,-1.78795,19.2393
740,550479,-1.63988,17.1758
741,551749,-1.53826,15.6962
742,553022,-1.42527,13.7849
743,554299,-1.35203,12.1297
744,555578,-1.53683,10.6402
745,556860,-1.54128,9.39661
746,558145,-1.55143,8.91942
747,559433,-1.5246,8.43053
748,560723,-1.42425,7.49742
749,562017,-1.3465,6.32329
750,563314,-1.35517,5.23778
751,564614,-1.3748,4.46073
752,565917,-1.36653,3.4306
753,567223,-1.37202,2.36458
754,568532,-1.46748,0.91964
755,569844,-1.66997,-0.00365148
756,571159,-1.7099,0.116161
757,572477,-1.85554,0.748665
758,573798,-1.99874,1.1106
759,575122,-2.20386,1.92268
760,576449,-2.36354,3.71782
761,577779,-2.36999,6.99343
762,579112,-2.02215,9.77171
763,580449,-1.60942,10.5097
764,581788,-1.20508,10.2051
765,583131,-1.13727,9.11868
766,584476,-0.94023,7.98266
767,585825,-0.802491,6.90447
768,587177,-0.710362,5.89377
769,588532,-0.631264,5.06866
770,589890,-0.566499,4.17162
771,591251,-0.522333,3.23564
772,592615,-0.498734,2.63927
773,593983,-0.479024,2.19963
774,595353,-0.455486,1.58056
775,596727,-0.420605,0.864075
776,598104,-0.41089,0.279466
777,599484,-0.408023,-0.161258
778,600868,-0.379838,-0.697657
779,602254,-0.37816,-1.12869
780,603644,-0.376588,-1.55953
781,605037,-0.386655,-1.97574
782,606433,-0.362324,-2.32638
783,607832,-0.383519,-2.76241
784,609235,-0.370967,-3.17934
785,610641,-0.384839,-3.53525
786,612050,-0.372459,-3.8524
787,613462,-0.399072,-4.20959
788,614878,-0.373755,-4.5273
789,616297,-0.427148,-4.8306
790,617719,-0.43943,-5.11783
791,619144,-0.485311,-5.43706
792,620573,-0.500381,-5.48919
793,622005,-0.484618,-5.37027
794,623440,-0.441247,-5.5352
795,624879,-0.423724,-5.70354
796,626321,-0.431401,-6.14034
797,627766,-0.408598,-6.47928
798,629215,-0.403649,-6.86035
799,630667,-0.424598,-7.0001
