;Scopy version,f4beeb1
;Exported on,Saturday October 07/10/2023
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
488,307956,-0.644803,-16.6841
489,308666,-0.709508,-17.0299
490,309379,-0.64649,-17.1796
491,310093,-0.750024,-17.3923
492,310808,-0.716696,-17.1846
493,311525,-0.757545,-17.6544
494,312244,-0.776601,-17.8943
495,312965,-0.88394,-18.3152
496,313687,-0.815471,-18.6889
497,314411,-0.956737,-18.5972
498,315136,-1.10001,-19.545
499,315864,-1.24377,-19.4649
500,316592,-1.46834,-19.6422
501,317323,-1.75362,-19.3291
502,318055,-2.04592,-18.1099
503,318789,-2.35975,-14.7572
504,319525,-2.37832,-11.8941
505,320262,-2.16092,-8.68175
506,321001,-1.85069,-7.00093
507,321742,-1.50674,-6.25056
508,322484,-1.22154,-6.26566
509,323228,-0.984091,-6.84447
510,323974,-0.805899,-7.41933
511,324722,-0.675061,-7.86573
512,325471,-0.61735,-8.70892
513,326222,-0.54268,-9.32938
514,326975,-0.498863,-9.8181
515,327729,-0.458593,-10.3401
516,328486,-0.455352,-10.5499
517,329244,-0.459991,-11.2264
518,330003,-0.429486,-11.7988
519,330765,-0.430357,-11.9233
520,331528,-0.394763,-12.1904
521,332293,-0.432063,-12.7223
522,333060,-0.492363,-12.5718
523,333829,-0.408778,-12.2381
524,334599,-0.453069,-12.9229
525,335371,-0.443783,-13.0628
526,336145,-0.408479,-13.1803
527,336921,-0.419839,-13.6304
528,337698,-0.38399,-13.7296
529,338477,-0.406989,-13.9073
530,339258,-0.46456,-14.1658
531,340041,-0.423389,-13.8478
532,340826,-0.385553,-14.074
533,341612,-0.39104,-14.6872
534,342401,-0.430537,-14.7819
535,343191,-0.411348,-14.5957
536,343983,-0.435202,-14.8828
537,344776,-0.428051,-14.9648
538,345572,-0.491194,-14.9384
539,346369,-0.425485,-15.5533
540,347169,-0.486493,-15.2959
541,347970,-0.444735,-15.6572
542,348773,-0.422994,-15.4365
543,349578,-0.467576,-15.6893
544,350384,-0.460777,-15.7739
545,351193,-0.428803,-16.2897
546,352003,-0.445181,-16.3715
547,352815,-0.453371,-15.8241
548,353630,-0.523435,-15.9873
549,354446,-0.458521,-15.8722
550,355263,-0.450448,-16.1992
551,356083,-0.468171,-16.2613
552,356905,-0.482134,-16.4015
553,357729,-0.455219,-16.9317
554,358554,-0.451547,-16.3138
555,359381,-0.540499,-16.3855
556,360211,-0.54494,-16.6672
557,361042,-0.502121,-17.1209
558,361875,-0.541693,-16.9569
559,362710,-0.525248,-17.1208
560,363547,-0.521736,-17.1657
561,364386,-0.488761,-16.8287
